origin_cycle_id,cooler_pct,valve_pct,pump_leak,accumulator_bar,stable_flag,is_stable
0,3,100,0,130,1,False
1,3,100,0,130,1,False
2,3,100,0,130,1,False
3,3,100,0,130,1,False
4,3,100,0,130,1,False
5,3,100,0,130,1,False
6,3,100,0,130,1,False
7,3,100,0,130,1,False
8,3,100,0,130,1,False
9,3,100,0,130,1,False
10,3,100,0,130,1,False
11,3,100,0,130,1,False
12,3,100,0,130,1,False
13,3,100,0,130,1,False
14,3,100,0,130,1,False
15,3,100,0,130,1,False
16,3,100,0,130,1,False
17,3,100,0,130,1,False
18,3,100,0,130,1,False
19,3,100,0,130,1,False
20,3,100,0,130,1,False
21,3,100,0,130,1,False
22,3,100,0,130,1,False
23,3,100,0,130,1,False
24,3,100,0,130,1,False
25,3,100,0,130,1,False
26,3,100,0,130,1,False
27,3,100,0,130,1,False
28,3,100,0,130,1,False
29,3,100,0,130,1,False
30,3,100,0,130,1,False
31,3,100,0,130,1,False
32,3,100,0,130,1,False
33,3,100,0,130,1,False
34,3,100,0,130,1,False
35,3,100,0,130,1,False
36,3,100,0,130,1,False
37,3,100,0,130,1,False
38,3,100,0,130,1,False
39,3,100,0,130,1,False
40,3,100,0,130,1,False
41,3,100,0,130,1,False
42,3,100,0,130,1,False
43,3,100,0,130,1,False
44,3,100,0,130,1,False
45,3,100,0,130,1,False
46,3,100,0,130,1,False
47,3,100,0,130,1,False
48,3,100,0,130,1,False
49,3,100,0,130,1,False
50,3,100,0,130,1,False
51,3,100,0,130,1,False
52,3,100,0,130,1,False
53,3,100,0,130,1,False
54,3,100,0,130,1,False
55,3,100,0,130,1,False
56,3,100,0,130,1,False
57,3,100,0,130,1,False
58,3,100,0,130,1,False
59,3,100,0,130,1,False
60,3,100,0,130,1,False
61,3,100,0,130,1,False
62,3,100,0,130,1,False
63,3,100,0,130,1,False
64,3,100,0,130,1,False
65,3,100,0,130,1,False
66,3,100,0,130,1,False
67,3,100,0,130,1,False
68,3,100,0,130,1,False
69,3,100,0,130,1,False
70,3,100,0,130,1,False
71,3,100,0,130,1,False
72,3,100,0,130,1,False
73,3,100,0,130,1,False
74,3,100,0,130,1,False
75,3,100,0,130,1,False
76,3,100,0,130,1,False
77,3,100,0,130,1,False
78,3,100,0,130,1,False
79,3,100,0,130,1,False
80,3,100,0,130,1,False
81,3,100,0,130,1,False
82,3,100,0,130,1,False
83,3,100,0,130,1,False
84,3,100,0,130,1,False
85,3,100,0,130,1,False
86,3,100,0,130,1,False
87,3,100,0,130,1,False
88,3,100,0,130,1,False
89,3,100,0,130,1,False
90,3,100,0,130,1,False
91,3,100,0,130,1,False
92,3,100,0,130,1,False
93,3,100,0,130,1,False
94,3,100,0,130,1,False
95,3,100,0,130,1,False
96,3,100,0,130,1,False
97,3,100,0,130,1,False
98,3,100,0,130,1,False
99,3,100,0,130,1,False
100,3,100,0,130,1,False
101,3,100,0,130,1,False
102,3,100,0,130,1,False
103,3,100,0,130,1,False
104,3,100,0,130,1,False
105,3,100,0,130,1,False
106,3,100,0,130,1,False
107,3,100,0,130,1,False
108,3,100,0,130,1,False
109,3,100,0,130,1,False
110,3,100,0,130,1,False
111,3,100,0,130,1,False
112,3,100,0,130,1,False
113,3,100,0,130,1,False
114,3,100,0,130,1,False
115,3,100,0,130,1,False
116,3,100,0,130,1,False
117,3,100,0,130,1,False
118,3,100,0,130,1,False
119,3,100,0,130,1,False
120,3,100,0,130,1,False
121,3,100,0,130,1,False
122,3,100,0,130,1,False
123,3,100,0,130,1,False
124,3,100,0,130,1,False
125,3,100,0,130,1,False
126,3,100,0,130,1,False
